SampleID,Group,Treatment,Vaccine,Challenge,PigID,Study_Day,Days_post_vaccination,Days_post_challenge,Sample_Type
1973_D2_F,3,EVC,Enterisol,I4512i,1973,D2,29,2,Fecal
1975_D2_F,2,MVC,Mock,I4512i,1975,D2,29,2,Fecal
1977_D2_F,3,EVC,Enterisol,I4512i,1977,D2,29,2,Fecal
1978_D2_F,2,MVC,Mock,I4512i,1978,D2,29,2,Fecal
1979_D2_F,1,MVMC,Mock,Mock,1979,D2,29,2,Fecal
1980_D2_F,3,EVC,Enterisol,I4512i,1980,D2,29,2,Fecal
1981_D2_F,1,MVMC,Mock,Mock,1981,D2,29,2,Fecal
1984_D2_F,3,EVC,Enterisol,I4512i,1984,D2,29,2,Fecal
1986_D2_F,2,MVC,Mock,I4512i,1986,D2,29,2,Fecal
1988_D2_F,1,MVMC,Mock,Mock,1988,D2,29,2,Fecal
1989_D2_F,2,MVC,Mock,I4512i,1989,D2,29,2,Fecal
1990_D2_F,3,EVC,Enterisol,I4512i,1990,D2,29,2,Fecal
1991_D2_F,1,MVMC,Mock,Mock,1991,D2,29,2,Fecal
1993_D2_F,3,EVC,Enterisol,I4512i,1993,D2,29,2,Fecal
1995_D2_F,2,MVC,Mock,I4512i,1995,D2,29,2,Fecal
2000_D2_F,3,EVC,Enterisol,I4512i,2000,D2,29,2,Fecal
5374_D2_F,1,MVMC,Mock,Mock,5374,D2,29,2,Fecal
5375_D2_F,2,MVC,Mock,I4512i,5375,D2,29,2,Fecal
5377_D2_F,1,MVMC,Mock,Mock,5377,D2,29,2,Fecal
5379_D2_F,3,EVC,Enterisol,I4512i,5379,D2,29,2,Fecal
5381_D2_F,2,MVC,Mock,I4512i,5381,D2,29,2,Fecal
5382_D2_F,3,EVC,Enterisol,I4512i,5382,D2,29,2,Fecal
5393_D2_F,2,MVC,Mock,I4512i,5393,D2,29,2,Fecal
5394_D2_F,3,EVC,Enterisol,I4512i,5394,D2,29,2,Fecal
5396_D2_F,3,EVC,Enterisol,I4512i,5396,D2,29,2,Fecal
5397_D2_F,1,MVMC,Mock,Mock,5397,D2,29,2,Fecal
5400_D2_F,1,MVMC,Mock,Mock,5400,D2,29,2,Fecal
5402_D2_F,2,MVC,Mock,I4512i,5402,D2,29,2,Fecal
5404_D2_F,1,MVMC,Mock,Mock,5404,D2,29,2,Fecal
5406_D2_F,2,MVC,Mock,I4512i,5406,D2,29,2,Fecal
5407_D2_F,3,EVC,Enterisol,I4512i,5407,D2,29,2,Fecal
5408_D2_F,1,MVMC,Mock,Mock,5408,D2,29,2,Fecal
5409_D2_F,2,MVC,Mock,I4512i,5409,D2,29,2,Fecal
5411_D2_F,3,EVC,Enterisol,I4512i,5411,D2,29,2,Fecal
5413_D2_F,1,MVMC,Mock,Mock,5413,D2,29,2,Fecal
5415_D2_F,2,MVC,Mock,I4512i,5415,D2,29,2,Fecal
5416_D2_F,3,EVC,Enterisol,I4512i,5416,D2,29,2,Fecal
5418_D2_F,2,MVC,Mock,I4512i,5418,D2,29,2,Fecal
5420_D2_F,3,EVC,Enterisol,I4512i,5420,D2,29,2,Fecal
5421_D2_F,1,MVMC,Mock,Mock,5421,D2,29,2,Fecal
5425_D2_F,1,MVMC,Mock,Mock,5425,D2,29,2,Fecal
6137_D2_F,2,MVC,Mock,I4512i,6137,D2,29,2,Fecal
6140_D2_F,2,MVC,Mock,I4512i,6140,D2,29,2,Fecal
6141_D2_F,1,MVMC,Mock,Mock,6141,D2,29,2,Fecal
6142_D2_F,3,EVC,Enterisol,I4512i,6142,D2,29,2,Fecal
81_D2_F,3,EVC,Enterisol,I4512i,81,D2,29,2,Fecal
82_D2_F,1,MVMC,Mock,Mock,82,D2,29,2,Fecal
83_D2_F,2,MVC,Mock,I4512i,83,D2,29,2,Fecal
84_D2_F,1,MVMC,Mock,Mock,84,D2,29,2,Fecal
88_D2_F,1,MVMC,Mock,Mock,88,D2,29,2,Fecal
89_D2_F,3,EVC,Enterisol,I4512i,89,D2,29,2,Fecal
